id,host_verifications,amex,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,weibo,number_of_host_verifications
6467991,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
6072693,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
13298014,"['email', 'phone', 'facebook', 'reviews']",0,1,1,0,0,0,0,0,0,1,1,0,0,4
9855,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14624367,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,1,0,0,5
8168982,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6268395,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14360470,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
6446940,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
7869497,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14468407,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6790961,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
12183851,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
7219056,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
12969783,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,1,0,0,5
14823724,"['email', 'phone', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,0,0,0,1,1,0,0,5
9496325,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
8335652,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10034930,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13082258,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
10149314,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6317304,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
2663667,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13968572,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
12592117,"['email', 'phone', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,0,0,0,1,1,0,0,5
10036192,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
11985521,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
11035223,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
8336347,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13083058,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8085906,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
14573969,"['email', 'phone', 'google', 'reviews', 'jumio']",0,1,0,1,1,0,0,0,0,1,1,0,0,5
7840131,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
