,Word,Counts
117,well equipped,0.18026429187015225
118,conveniently located,0.17897155989658145
119,nearby,0.17882792301062914
120,nice,0.1783970123527722
121,see,0.17810973858086757
122,house clean,0.17767882792301062
123,fun,0.17652973283539214
124,shops restaurant,0.17652973283539214
125,though,0.17595518529158288
126,left,0.17552427463372594
127,small,0.1752370008618213
128,appreciated,0.17408790577420283
129,stayed,0.17394426888825051
130,well stocked,0.17365699511634589
131,morning,0.17322608445848894
132,recommend anyone,0.17222062625682275
133,great view,0.17207698937087043
134,close downtown,0.1716460787130135
135,space,0.17092789428325195
136,place perfect,0.170496983625395
137,stay next,0.1703533467394427
138,places eat,0.16791151967825338
139,neighborhood quiet,0.16748060902039644
140,love,0.16503878195920713
141,Queen Anne,0.16503878195920713
142,sweet,0.16116058603849467
143,husband,0.15986785406492388
144,perfect place,0.15958058029301925
145,excellent host,0.15958058029301925
146,think,0.15929330652111462
147,know,0.1591496696351623
148,property,0.1591496696351623
149,upon arrival,0.15742602700373456
150,couple,0.15656420568802068
151,bars restaurant,0.15642056880206837
152,stay Thank,0.15512783682849757
153,friendly helpful,0.15484056305659294
154,let us,0.15469692617064063
155,still,0.154409652398736
156,well appointed,0.15426601551278368
157,location close,0.15412237862683137
158,left us,0.15412237862683137
159,nice clean,0.15383510485492674
160,quick respond,0.15326055731111748
161,washer dryer,0.15225509910945131
162,condo,0.15153691467968974
163,set,0.15139327779373743
164,comfortable clean,0.1511060040218328
165,house great,0.1511060040218328
166,gracious host,0.1509623671358805
167,person,0.15053145647802355
168,clean quiet,0.15038781959207123
169,last minute,0.15038781959207123
170,apt,0.149813272048262
171,sure everything,0.14909508761850043
172,time staying,0.14808962941683423
173,felt home,0.14794599253088192
174,thing,0.1476587187589773
175,dog,0.1476587187589773
176,Green Lake,0.147515081873025
177,used,0.14708417121516806
178,nice place,0.1463659867854065
179,easy find,0.14492961792588338
180,neighborhood great,0.14478598103993107
181,clean cozy,0.14349324906636024
182,alway,0.14263142775064636
183,listing,0.14220051709278944
184,hotel,0.14220051709278944
185,bus line,0.14205688020683713
186,cool,0.140620511347314
187,right home,0.140620511347314
188,use,0.14033323757540936
189,super clean,0.14033323757540936
190,area,0.1397586900316001
191,West Seattle,0.1397586900316001
192,easy communicate,0.13961505314564782
193,convenient,0.1394714162596955
194,easy walk,0.1394714162596955
195,close everything,0.13918414248779087
196,kind,0.13889686871588625
197,new,0.1384659580580293
198,provide,0.1373168629704108
199,including,0.13717322608445848
